num_points,pi,time
278000,3.145698,0.007013
278500,3.142908,0.007006
279000,3.141090,0.007023
279500,3.141481,0.007166
280000,3.144286,0.007089
280500,3.139807,0.007048
281000,3.142164,0.007177
281500,3.137520,0.007072
282000,3.144610,0.007554
282500,3.142315,0.007789
283000,3.147194,0.007744
283500,3.144578,0.007736
284000,3.137324,0.007570
284500,3.142074,0.007740
285000,3.139453,0.007787
285500,3.135552,0.007757
286000,3.141580,0.007417
286500,3.143916,0.007457
287000,3.146564,0.007433
287500,3.143332,0.007458
288000,3.143931,0.007432
288500,3.136513,0.007604
289000,3.144332,0.007570
289500,3.140518,0.007491
290000,3.143338,0.007421
290500,3.142885,0.007447
291000,3.144591,0.007446
291500,3.140858,0.007343
292000,3.139466,0.007338
292500,3.141962,0.007600
293000,3.135195,0.007567
293500,3.143782,0.007364
294000,3.140694,0.007399
294500,3.139735,0.007524
295000,3.138034,0.007467
295500,3.133902,0.007496
296000,3.142203,0.007639
296500,3.145889,0.007560
297000,3.143125,0.007650
297500,3.138595,0.007487
298000,3.143946,0.007700
298500,3.140704,0.007712
299000,3.140441,0.007539
299500,3.144681,0.007587
300000,3.136760,0.007718
300500,3.142057,0.007753
301000,3.143561,0.007623
301500,3.144995,0.007752
302000,3.139841,0.007615
302500,3.141686,0.007604
303000,3.140713,0.007620
303500,3.142511,0.007629
304000,3.136316,0.008365
304500,3.145537,0.007887
305000,3.139895,0.007901
305500,3.143450,0.007832
306000,3.140967,0.007715
306500,3.143021,0.007709
307000,3.142554,0.007751
307500,3.148683,0.007802
308000,3.139247,0.007880
308500,3.140823,0.007775
309000,3.136350,0.007775
309500,3.145305,0.007776
310000,3.135639,0.007786
310500,3.142982,0.007835
311000,3.139138,0.007812
311500,3.137413,0.007833
312000,3.142987,0.007838
312500,3.143091,0.007867
313000,3.145866,0.007851
313500,3.142290,0.007909
314000,3.137809,0.007916
314500,3.135911,0.007936
315000,3.142806,0.007919
315500,3.140818,0.007933
316000,3.146658,0.008052
316500,3.138578,0.007984
317000,3.142713,0.007973
317500,3.144302,0.007982
318000,3.141836,0.008066
318500,3.137545,0.008039
319000,3.140025,0.008018
319500,3.142923,0.008016
320000,3.144175,0.008103
320500,3.144474,0.008053
321000,3.139028,0.008073
321500,3.138625,0.008060
322000,3.138534,0.008083
322500,3.140465,0.008095
323000,3.145957,0.008108
323500,3.139561,0.008120
324000,3.145074,0.008154
324500,3.140586,0.008148
325000,3.144603,0.008168
325500,3.140977,0.008202
326000,3.146957,0.008225
326500,3.143228,0.008229
327000,3.136404,0.008213
327500,3.140507,0.008217
328000,3.147598,0.008234
328500,3.144049,0.008245
329000,3.141641,0.008270
329500,3.142592,0.008270
330000,3.139491,0.008285
