num_points,pi,time
372000,3.141409,0.002864
372500,3.142293,0.002985
373000,3.140247,0.002839
373500,3.140616,0.003007
374000,3.141112,0.003001
374500,3.142804,0.003042
375000,3.138549,0.003221
375500,3.141103,0.002840
376000,3.139574,0.002834
376500,3.139538,0.002903
377000,3.145029,0.002819
377500,3.140811,0.002900
378000,3.142698,0.002836
378500,3.144740,0.002983
379000,3.142544,0.002718
379500,3.139805,0.002814
380000,3.143368,0.002688
380500,3.138597,0.002861
381000,3.139444,0.003000
381500,3.139827,0.003101
382000,3.139791,0.003015
382500,3.138248,0.003026
383000,3.137243,0.002913
383500,3.142988,0.002746
384000,3.141302,0.002982
384500,3.145956,0.002972
385000,3.142036,0.002866
385500,3.140026,0.002940
386000,3.136860,0.003698
386500,3.137853,0.002979
387000,3.141685,0.003047
387500,3.138632,0.003219
388000,3.141361,0.003058
388500,3.139655,0.003184
389000,3.138375,0.002446
389500,3.132929,0.002344
390000,3.141169,0.002430
390500,3.147247,0.002488
391000,3.134476,0.002244
391500,3.139198,0.002485
392000,3.142092,0.002269
392500,3.138945,0.002323
393000,3.139603,0.002603
393500,3.144417,0.002394
394000,3.140294,0.002168
394500,3.145420,0.002328
395000,3.145924,0.002406
395500,3.144233,0.002414
396000,3.144283,0.002242
396500,3.138512,0.002264
397000,3.144423,0.002434
397500,3.139472,0.002457
398000,3.142553,0.002125
398500,3.140999,0.002695
399000,3.140872,0.002735
399500,3.136421,0.003010
400000,3.139490,0.002660
